count,mean,std,min,25%,50%,75%,max
434.0,233.14285714285714,961.4879432395657,-1.0,20.0,37.5,97.75,15136.0
391.0,6154.416879795396,4568.545016391026,0.0,1706.0,6562.0,8933.0,21078.0
336.0,11.0,28.39981080449909,0.0,0.0,0.0,7.25,234.0
382.0,25.342931937172775,75.66423405242894,0.0,0.0,0.0,0.0,649.0
391.0,554.383631713555,623.4677185220445,0.0,8.0,386.0,1065.5,3115.0
386.0,113.70207253886011,128.29056648966397,-34.0,27.0,60.5,166.5,767.0
401.0,677.3865336658354,1042.558582391514,0.0,39.0,198.0,766.0,4620.0
385.0,195.48831168831168,303.36842544295206,0.0,17.0,48.0,142.0,1051.0
388.0,118.20618556701031,171.13463507079163,-17.0,4.0,21.0,182.75,907.0
396.0,3869.5252525252527,4800.489749473873,-2214.0,114.75,1160.0,7614.25,17773.0
386.0,72.90673575129534,74.90545803093052,0.0,17.0,54.5,109.0,547.0
399.0,579.68671679198,787.1204498754037,-2001.0,78.0,317.0,771.0,4508.0
379.0,21.113456464379947,45.66881356823545,0.0,1.0,4.0,13.0,280.0
375.0,0.42933333333333334,1.6153320657714438,0.0,0.0,0.0,0.0,17.0
396.0,638.1994949494949,466.8469926339786,0.0,308.25,521.0,876.0,2370.0
396.0,830.189393939394,968.1400134061772,-7953.0,331.0,751.0,1179.25,11536.0
412.0,490.6092233009709,437.6184888833355,0.0,139.0,369.0,669.25,1774.0
378.0,170.45238095238096,203.93687354066583,0.0,0.0,96.0,269.75,977.0
382.0,18.099476439790575,109.96279757317323,0.0,0.0,0.0,3.0,1750.0
376.0,8.736702127659575,23.125681741915585,0.0,0.0,0.0,7.0,209.0
399.0,266.7268170426065,411.65416164743476,0.0,7.0,35.0,411.0,1956.0
383.0,45.26631853785901,61.78494274940687,0.0,7.0,20.0,54.5,346.0
384.0,537.9921875,488.60832631520884,0.0,130.5,473.5,738.25,2173.0
0.0,,,,,,,
0.0,,,,,,,
378.0,0.17724867724867724,0.6618123549526795,0.0,0.0,0.0,0.0,5.0
428.0,180.9626168224299,206.60896213917619,-5.0,17.0,94.5,297.5,863.0
433.0,10866.207852193995,14871.978175110286,-46076.0,539.0,4300.0,19235.0,106091.0
383.0,51.0443864229765,98.87895510627071,0.0,0.0,0.0,51.0,570.0
380.0,14.365789473684211,34.92963734907855,-100.0,0.0,0.5,11.25,248.0
400.0,704.4025,1175.9036243792773,0.0,7.0,121.5,682.0,5450.0
